15,48,14,7
5,9,10,21
33,12,23,34
13,20,11,22
27,25,8,19
43,36,18,16
6,47,39,41
44,29,2,35
40,38,46,30
28,42,24,32
37,26,45,4
17,1,31,3
25,10,12,14
34,8,15,23
36,7,19,20
33,39,22,16
35,21,41,13
11,30,9,27
45,46,47,43
24,40,1,5
4,3,29,32
6,42,18,17
2,37,48,28
26,31,38,44
34,14,35,41
15,20,30,16
27,43,13,12
45,10,46,24
3,11,39,25
8,1,21,29
19,32,33,37
2,26,42,7
48,31,22,40
9,47,18,4
28,23,17,44
38,6,36,5
43,25,15,24
35,39,20,10
16,45,29,19
30,32,26,8
14,21,27,3
47,18,12,40
23,31,9,2
44,48,1,6
13,36,37,34
5,22,7,17
46,42,11,4
28,38,41,33
3,8,43,35
12,16,24,21
47,2,10,15
1,18,20,26
25,32,40,6
44,7,39,13
19,17,34,4
22,28,27,46
30,23,48,5
36,11,31,33
37,29,14,38
42,41,9,45
26,35,16,47
2,1,32,13
18,15,3,44
24,27,20,17
6,19,23,21
33,10,48,8
31,12,37,46
34,45,5,11
39,9,38,43
30,4,7,28
42,40,36,14
41,29,25,22
13,18,19,24
20,33,47,3
1,10,37,23
32,35,5,27
38,45,8,17
21,34,44,30
7,43,6,31
16,25,42,48
14,22,4,2
15,11,40,41
26,29,46,39
12,9,28,36
23,38,35,18
17,13,33,30
32,31,21,47
10,19,44,42
16,14,5,8
4,27,1,15
48,24,29,11
28,39,40,45
3,46,36,2
7,9,25,34
41,20,43,37
6,22,26,12
47,13,42,38
31,35,19,15
29,30,10,18
16,1,11,28
17,36,32,39
2,5,25,33
24,37,9,44
7,41,8,12
40,27,34,26
20,46,14,6
22,23,45,3
4,48,21,43
13,15,29,28
39,5,31,42
17,37,35,25
12,19,38,1
41,24,30,36
18,33,27,7
8,44,22,47
3,6,10,34
21,2,45,20
46,9,32,48
4,40,23,16
11,14,43,26
