13,30,9,4
12,25,26,22
6,7,1,5
16,15,11,28
17,31,3,10
24,8,29,19
20,2,23,18
27,26,21,14
28,22,6,1
10,15,4,16
17,5,13,29
18,30,24,12
31,14,9,11
3,19,2,21
8,27,23,25
7,29,20,4
22,6,17,30
13,24,14,1
12,10,9,19
28,31,23,8
5,11,27,2
26,21,16,7
20,3,25,18
15,24,13,17
4,23,9,22
28,5,10,14
6,2,16,31
21,3,25,29
12,8,20,27
1,18,26,15
11,7,19,30
6,4,23,14
17,29,31,9
25,2,10,24
13,28,21,12
30,16,3,5
19,27,15,1
22,8,18,7
11,26,20,17
10,21,23,6
29,2,12,13
16,3,27,9
15,31,5,22
30,11,1,8
4,19,26,20
7,28,24,25
14,17,18,16
13,27,31,10
8,9,21,22
4,12,11,3
15,20,6,24
19,25,5,18
2,28,30,26
1,23,29,14
7,12,10,17
22,20,16,27
18,24,11,21
5,4,8,28
19,6,25,13
26,1,3,31
9,14,2,7
29,23,30,15
18,20,28,10
12,11,5,6
31,25,19,16
4,1,2,17
30,21,14,15
22,23,3,24
8,13,26,7
27,29,9,28
16,1,12,18
14,30,31,20
17,23,19,5
15,3,7,8
25,21,2,4
24,9,27,6
22,10,29,26
11,16,23,13
31,12,7,15
3,17,28,25
14,6,8,19
27,18,30,4
20,10,1,13
29,22,2,11
5,9,24,26
21,23,17,12
7,19,28,27
10,16,8,30
14,13,22,3
24,2,4,31
1,20,21,5
18,26,6,29
25,9,15,11
