44,26,30,45,28,65,16,48
4,19,9,20,57,5,7,51
38,50,58,40,35,10,68,27
21,42,18,53,66,24,52,33
62,8,46,3,41,17,49,60
22,15,43,25,36,14,29,6
37,63,32,70,12,13,67,54
64,61,47,69,59,23,39,1
34,11,31,44,51,55,56,2
17,4,42,66,9,26,50,41
7,62,36,43,60,24,40,48
5,32,38,13,58,22,53,3
67,19,14,64,47,21,39,16
30,27,28,15,55,69,25,12
65,63,23,2,31,57,8,35
70,1,61,68,10,56,20,45
29,54,37,52,46,59,34,18
60,33,6,50,11,49,58,47
3,51,25,21,38,26,55,42
69,63,7,8,9,13,64,31
16,30,57,22,41,27,66,70
14,39,5,52,2,44,61,37
40,34,19,29,33,32,4,1
53,12,23,56,48,10,62,54
65,46,49,20,18,68,6,24
11,15,17,67,28,36,35,59
14,43,26,63,69,70,45,42
39,9,37,66,44,32,60,25
16,50,31,4,62,22,12,61
47,24,2,19,30,3,48,29
15,57,38,53,46,11,64,56
54,5,59,20,45,40,8,55
58,41,7,68,49,67,28,34
27,52,1,65,17,23,21,36
43,51,6,35,13,18,33,10
56,37,48,14,69,29,50,24
20,40,16,12,53,46,26,60
49,4,59,55,19,28,57,32
68,3,17,9,52,23,45,58
61,11,21,38,35,62,66,63
25,34,10,7,22,65,42,5
13,2,27,6,64,41,54,1
18,51,44,70,15,36,47,8
67,31,33,26,39,43,49,30
48,50,59,53,46,68,4,63
29,42,25,35,20,62,69,57
37,7,13,55,1,66,14,2
41,21,24,28,10,9,70,40
43,8,65,32,61,58,15,19
47,60,22,31,54,45,51,17
18,27,67,39,5,3,12,11
36,30,33,34,64,38,44,23
49,6,40,56,55,52,63,16
13,66,21,26,68,2,29,59
60,70,35,19,31,25,53,41
42,1,62,51,32,67,48,58
36,46,10,57,14,18,30,17
4,69,27,11,7,44,52,47
3,54,16,61,65,33,9,15
45,6,12,39,8,38,24,34
23,20,22,50,43,28,37,64
5,58,29,66,56,31,63,36
26,47,1,10,19,25,52,11
48,49,61,18,40,17,44,27
15,16,60,13,3,4,34,57
59,65,41,69,39,20,38,51
23,5,70,28,37,6,46,42
24,53,45,9,22,35,55,67
12,64,8,33,68,14,62,21
2,7,32,30,54,56,50,43
63,10,3,49,1,34,20,15
52,48,31,38,57,47,41,13
17,29,55,61,6,53,70,67
21,64,65,58,25,37,5,4
66,12,68,44,19,43,69,46
24,59,42,14,23,60,54,27
50,45,36,32,26,16,18,7
9,28,56,62,33,39,2,22
53,35,11,40,8,30,51,37
34,55,66,65,70,48,20,47
6,57,58,54,67,21,69,44
10,41,15,23,32,29,26,64
12,36,19,38,42,9,2,49
35,56,3,18,28,7,4,14
25,17,39,46,63,40,13,22
24,1,43,31,8,16,11,59
51,52,60,68,50,61,30,5
29*,33,19*,62,27,45,37*,57*
