66,14,34,77,84,8
87,15,37,12,49,6
78,11,1,59,57,80
40,69,71,75,26,3
67,17,62,10,20,35
55,36,19,56,54,21
90,61,43,79,4,64
22,28,46,30,16,89
7,88,81,24,52,50
58,38,13,5,31,33
65,86,73,42,60,23
83,47,91,70,74,51
25,82,9,53,63,29
76,18,32,45,44,27
41,85,68,2,48,72
59,39,75,26,84,17
15,77,79,69,56,55
66,30,78,87,35,36
12,54,61,71,20,7
21,34,40,13,43,80
19,60,64,57,3,22
5,8,50,86,91,67
52,62,63,74,38,28
83,51,73,33,14,27
49,53,72,18,88,42
4,82,70,31,65,2
81,46,48,47,25,29
76,1,10,89,39,58
32,41,37,90,16,9
23,6,11,68,44,24
12,45,13,85,3,66
20,5,61,69,30,8
67,59,60,56,77,52
64,7,74,87,34,78
75,27,72,15,28,21
18,40,62,33,19,2
31,83,35,46,26,53
63,39,57,47,48,22
9,58,42,54,90,84
43,36,44,49,70,50
55,76,82,37,81,80
73,68,11,91,16,45
65,89,88,6,51,85
23,25,17,1,41,38
86,4,14,10,71,32
24,67,79,64,29,27
18,72,35,52,34,59
5,66,56,62,2,39
40,61,28,83,9,60
90,33,22,70,12,84
47,53,15,50,76,3
82,68,43,54,57,46
16,81,20,44,31,89
37,73,26,30,1,7
21,63,42,10,4,6
11,86,75,55,38,87
80,29,49,19,23,77
48,32,13,71,65,78
74,45,36,41,79,14
85,25,88,91,69,58
51,56,17,8,24,53
39,68,3,18,70,67
2,50,16,34,57,12
47,33,89,66,37,64
84,35,1,81,63,4
42,83,52,31,11,43
61,44,10,19,5,87
28,6,54,26,29,76
65,49,59,20,22,41
71,73,74,72,55,25
14,60,8,88,23,13
86,85,24,15,90,36
69,78,45,21,9,17
46,51,77,7,32,38
62,48,30,58,80,75
82,27,79,91,40,66
34,81,19,37,68,83
29,33,87,1,50,56
28,12,35,44,65,39
41,2,55,43,67,47
54,3,16,4,59,88
8,10,22,11,74,53
17,18,15,89,13,36
70,21,23,9,71,57
72,24,38,80,84,30
62,76,45,64,25,26
5,27,90,48,31,77
58,79,7,6,86,63
40,85,20,73,52,32
69,49,60,51,82,78
46,91,61,14,75,42
88,55,29,66,4,68
13,53,65,67,87,81
36,8,34,3,47,28
57,89,70,84,72,41
38,21,16,39,24,76
45,10,83,48,15,59
74,19,9,43,33,26
30,52,44,71,64,86
50,69,18,58,78,90
23,37,40,51,54,5
22,35,77,82,75,73
25,42,20,7,56,14
60,11,63,27,12,62
32,1,2,91,49,31
80,46,85,61,17,6
38,10,34,57,88,79
9,8,39,36,83,81
29,15,84,52,16,65
48,69,66,72,43,86
28,58,24,45,19,71
90,87,76,51,67,23
33,78,54,44,75,25
59,30,50,74,42,82
53,20,4,77,60,70
22,13,91,62,55,7
49,64,85,14,63,40
41,18,21,46,73,5
80,17,31,68,47,12
27,56,3,37,61,1
35,32,26,79,89,11
84,2,83,6,87,69
29,65,57,8,45,90
72,23,10,82,36,33
4,30,51,39,15,19
42,28,76,70,48,55
60,43,75,16,7,85
78,62,81,88,77,41
54,31,24,63,66,18
1,20,74,86,40,46
50,27,68,35,89,25
38,6,91,64,59,12
44,58,53,2,80,73
21,37,67,32,11,61
13,9,47,52,79,49
26,71,56,34,22,5
3,14,30,17,90,48
4,7,33,76,41,69
16,19,8,63,72,87
31,42,39,45,40,29
75,66,20,83,50,23
43,51,12,28,18,84
10,80,54,60,91,65
32,24,59,25,70,62
73,53,89,78,61,38
36,46,67,88,22,44
15,82,1,9,34,11
77,2,71,79,17,37
14,6,52,57,5,55
56,64,58,68,13,74
3,21,86,35,81,49
87,26,47,27,85,4
30,41,91,60,29,18
25,80,66,16,28,10
89,12,32,24,75,69
84,7,19,53,67,48
36,59,9,76,73,31
78,37,63,20,43,46
23,52,33,61,39,34
11,77,54,50,72,64
81,70,58,40,38,15
26,90,57,13,44,56
17,88,2,27,74,86
6,5,47,35,45,82
65,22,14,68,1,21
49,55,71,85,8,83
3,79,51,42,62,16
89,91,80,67,9,4
63,23,43,53,32,30
75,64,31,19,10,41
39,87,70,73,54,69
38,26,48,20,36,60
77,86,25,61,13,18
56,84,88,11,47,40
2,74,90,7,35,15
17,57,49,33,66,28
59,14,72,29,58,37
55,46,45,34,50,51
22,71,27,81,42,6
79,83,5,24,3,65
1,62,44,85,21,82
12,76,52,8,78,68
