29,23,15,28,30,10,25,17
22,35,16,11,36,27,20,9
26,33,3,14,19,34,8,31
24,21,13,1,6,2,12,32
22,5,20,4,18,7,35,15
26,29,9,25,10,19,36,17
11,13,31,33,16,21,23,12
28,30,32,7,8,14,1,5
4,6,24,27,34,3,18,2
29,20,17,33,12,9,35,13
25,7,5,19,31,22,21,26
1,16,30,36,34,4,27,15
11,24,2,10,14,28,6,8
23,18,21,17,32,26,7,3
15,19,9,16,12,1,34,25
35,14,29,10,2,31,28,4
23,30,8,11,20,3,5,24
6,36,33,18,22,32,27,13
17,26,34,7,15,10,2,1
4,21,19,12,14,35,20,30
13,25,28,3,36,33,22,23
5,29,9,32,24,31,18,16
27,8,26,35,17,11,6,1
21,25,3,15,36,4,14,13
31,12,7,20,34,24,32,23
30,33,19,2,10,6,5,16
28,8,22,9,27,11,29,18
14,17,32,31,20,4,25,35
33,34,36,5,19,7,23,6
9,3,1,22,24,26,12,28
8,13,10,18,29,27,30,21
17,15,11,14,7,2,16,33
25,31,6,22,3,35,19,24
13,5,27,23,9,30,10,34
28,12,11,36,16,18,4,26
21,8,2,29,1,32,15,20
13,34,30,6,9,14,22,7
12,16,17,27,35,23,31,10
32,18,1,19,3,11,4,29
2,20,26,36,33,25,24,8
21,28,35,34,5,15,12,30
7,1,23,4,19,22,13,29
26,6,10,3,16,32,8,20
27,2,14,25,11,9,33,21
15,36,31,24,18,17,28,5
