14,41,71,35
2,11,62,75
4,66,44,45
48,33,50,59
81,6,43,89
37,20,68,10
83,19,53,63
94,8,93,84
30,52,64,80
13,25,56,47
67,58,39,74
49,72,76,90
7,60,51,65
31,69,46,85
17,40,54,36
79,92,91,24
18,9,29,21
1,12,86,26
5,32,27,88
3,22,38,55
34,70,87,23
78,73,57,42
16,28,61,82
15,93,77,43
63,94,20,14
10,50,25,41
2,6,53,33
84,49,47,68
89,62,4,72
30,37,59,19
40,81,56,66
7,83,48,45
8,75,18,69
24,36,1,74
9,71,64,54
55,90,60,46
22,39,44,79
80,73,32,67
57,82,11,13
85,42,77,61
26,31,65,34
58,87,92,21
28,12,15,5
51,3,52,29
76,38,91,23
88,78,70,86
27,17,35,16
89,53,68,41
62,84,50,63
7,20,69,2
72,10,19,56
18,40,6,25
71,94,81,45
74,75,83,14
67,54,49,82
13,64,77,55
80,26,36,42
11,59,9,58
15,21,8,46
73,47,90,29
60,61,79,5
30,32,34,28
12,51,48,66
23,93,22,17
92,16,3,4
44,86,43,87
85,35,76,70
52,39,65,38
24,33,57,27
1,88,37,31
91,25,78,54
84,53,7,18
72,67,41,77
58,42,62,13
11,83,10,49
90,8,26,6
45,21,47,40
79,36,55,73
9,30,69,15
23,2,80,59
28,20,50,3
61,51,4,43
46,74,66,17
38,29,89,12
92,65,85,19
5,44,16,48
87,64,14,24
82,60,81,52
1,27,93,39
70,75,33,31
34,76,71,78
35,57,86,22
63,37,56,32
88,68,94,91
41,84,26,83
6,58,54,15
79,69,67,53
90,80,3,43
55,66,2,30
4,42,21,38
89,23,85,47
36,48,25,11
14,5,92,13
10,46,24,65
82,50,73,51
77,70,74,8
61,34,44,18
62,19,60,35
31,22,32,76
59,39,40,91
72,81,87,27
29,20,75,88
49,45,64,57
16,86,94,9
63,78,93,33
56,28,17,1
52,7,12,37
68,4,71,85
11,79,42,14
54,43,65,5
53,10,73,92
25,3,67,89
21,34,74,50
23,82,18,19
32,26,46,61
40,41,80,8
36,69,51,77
27,76,75,59
24,84,31,30
60,44,58,72
66,20,6,64
49,87,9,93
78,16,39,56
38,86,15,68
47,57,81,37
35,13,94,7
91,71,22,1
83,88,33,12
29,62,17,48
45,2,63,90
28,70,55,52
26,73,19,89
14,65,82,8
59,43,10,18
42,25,5,84
34,77,4,11
41,44,75,64
51,27,58,31
32,69,40,92
54,85,66,79
56,74,86,49
87,30,35,46
50,37,67,15
23,9,33,60
48,22,20,78
81,38,88,90
21,17,70,80
16,47,72,7
94,1,52,76
93,24,28,2
55,63,39,61
68,6,3,57
91,83,36,62
13,45,29,53
77,71,12,92
31,64,73,4
86,54,84,51
75,56,58,89
37,18,41,65
74,26,30,10
27,79,43,82
42,44,8,32
22,88,60,87
33,25,20,16
47,67,34,1
66,15,23,90
48,40,70,49
17,52,14,2
57,91,9,7
45,55,62,68
80,12,63,72
69,29,11,35
53,36,3,94
46,81,39,76
78,85,38,24
5,71,83,50
13,59,28,6
19,61,21,93
64,89,82,10
31,86,42,18
51,56,20,34
8,73,30,60
15,4,70,47
43,67,84,40
49,14,26,91
68,74,52,87
7,62,54,1
90,41,79,17
33,80,22,29
76,77,37,48
53,11,85,16
38,63,36,71
12,46,45,75
21,39,13,24
6,72,50,94
59,5,78,3
65,93,35,58
92,66,88,28
83,81,2,44
57,55,32,23
61,9,25,27
19,68,69,34
64,62,8,51
17,49,73,7
89,54,74,80
47,77,20,30
29,15,40,26
76,60,86,63
90,33,37,11
10,85,45,52
75,48,6,67
41,94,59,38
93,56,71,31
43,35,42,28
2,50,16,13
39,14,12,23
87,32,25,79
61,58,88,36
65,3,84,21
1,92,72,57
69,55,27,83
18,4,46,22
82,78,44,9
19,91,5,81
24,70,66,53
