68,32,61,34,20,52
19,2,6,5,41,64
54,1,21,63,55,50
60,39,47,23,37,33
9,42,12,7,25,27
44,10,69,57,51,65
26,22,36,13,67,16
4,56,35,62,8,58
53,46,3,15,31,66
11,48,24,38,28,14
45,30,17,18,40,29
59,43,41,49,47,23
1,9,39,44,54,2
61,27,20,5,36,65
33,16,10,6,42,35
56,12,31,34,21,19
37,55,57,22,66,48
4,8,60,15,18,24
29,51,28,59,14,7
13,25,49,11,68,17
53,45,38,69,52,50
30,46,43,67,58,63
64,3,40,32,26,62
22,47,1,36,9,6
23,19,35,42,20,54
55,65,24,18,16,2
17,59,4,61,31,57
5,27,13,52,60,29
67,39,38,41,7,10
34,37,56,11,45,26
40,50,68,28,46,44
69,49,58,15,32,33
66,21,30,8,14,43
53,12,63,64,62,48
25,3,9,51,61,19
17,24,5,22,7,39
6,57,11,45,67,20
31,23,34,27,50,2
58,18,1,69,26,59
10,4,40,41,37,21
56,49,65,38,66,64
28,63,36,8,35,3
62,53,14,55,42,60
43,25,32,13,44,29
47,16,68,48,30,15
52,51,33,12,46,54
58,22,57,27,41,34
61,4,11,39,19,66
63,40,6,9,50,49
17,23,67,21,65,62
7,60,45,10,55,32
25,37,15,28,1,64
51,20,53,16,29,56
2,38,30,35,13,46
42,43,18,12,68,36
26,14,31,47,52,54
8,69,48,59,5,3
45,44,62,24,33,19
66,17,28,9,34,32
50,64,29,61,58,10
4,67,27,1,49,53
39,18,6,43,35,51
65,13,7,46,47,21
68,54,8,57,60,38
20,48,41,24,26,25
36,31,55,30,33,5
52,23,14,22,40,56
3,2,69,16,12,37
44,15,42,63,11,59
19,13,10,58,53,28
51,67,66,47,45,50
35,24,61,68,26,49
65,54,34,25,6,4
32,64,18,14,5,22
33,57,7,43,1,3
48,2,46,56,17,42
40,52,21,59,39,36
55,29,8,12,44,23
20,62,30,69,9,37
60,41,63,16,11,31
38,19,15,51,27,26
18,47,5,50,57,25
14,49,61,46,10,1
24,32,59,6,56,67
21,53,8,33,22,2
64,52,42,30,28,4
66,68,69,23,63,7
16,44,17,37,38,27
39,34,55,20,3,13
41,36,62,54,29,15
65,58,12,40,11,60
48,35,45,31,43,9
33,21,67,28,61,18
10,59,52,2,66,25
68,63,5,37,4,51
26,7,44,30,6,53
62,39,16,34,14,46
29,38,58,3,55,47
54,43,11,40,69,27
50,15,22,35,20,12
60,56,19,36,17,1
41,42,65,32,8,45
57,64,13,23,24,9
49,18,44,31,48,52
38,61,47,2,62,63
7,5,66,54,58,16
25,34,35,67,53,55
29,6,26,21,69,60
14,50,37,19,65,43
27,59,22,3,45,68
13,33,9,56,15,41
46,36,23,4,48,32
8,11,20,17,10,64
1,31,40,42,24,51
57,28,12,49,30,39
