5,14,2,7,10,21
26,15,8,19,11,9
31,17,27,29,30,24
1,25,6,16,4,23
33,18,28,20,12,22
34,32,30,3,21,13
14,8,25,27,29,4
24,22,33,31,5,9
20,26,18,1,3,23
28,34,7,32,11,6
19,16,10,13,17,2
15,29,3,12,24,21
4,26,30,7,32,27
16,20,28,5,10,34
18,8,23,17,33,15
11,25,12,22,2,31
13,19,1,9,6,14
8,5,32,10,27,33
3,7,17,4,31,28
9,29,12,1,34,14
23,24,6,22,30,19
21,20,11,25,16,18
4,15,2,28,26,13
12,5,27,19,6,34
10,24,25,14,30,18
3,26,2,33,16,1
13,23,7,22,11,8
21,9,17,20,32,29
18,15,34,33,31,6
2,1,11,5,3,30
28,21,22,23,27,9
13,10,29,7,25,26
31,14,15,16,8,17
32,12,4,24,19,20
6,2,10,29,23,11
22,1,5,14,17,26
32,9,3,8,19,31
27,24,16,18,13,4
34,33,20,30,7,15
28,12,23,21,25,5
6,18,3,32,22,14
27,20,8,2,34,24
11,4,33,29,21,19
7,9,16,12,10,26
30,17,1,25,28,15
6,27,13,20,3,31
14,4,7,23,33,5
26,11,16,8,28,24
19,2,25,9,34,22
10,31,32,15,1,21
30,13,12,17,18,29
33,14,19,11,28,27
26,21,31,4,6,20
24,18,1,2,7,8
25,22,29,15,16,32
17,23,10,34,12,3
30,9,8*,5,13,11*
