17,34,56,73,31,22,45,40
65,23,13,62,41,51,3,53
15,4,26,64,19,33,8,38
20,69,47,11,42,63,18,25
43,35,50,60,52,10,36,57
21,61,55,54,71,27,24,9
30,6,12,14,75,68,59,39
28,48,58,7,2,32,5,29
37,49,1,44,72,74,67,16
70,46,53,47,40,51,66,15
22,26,11,13,18,20,43,10
73,64,62,36,17,9,50,42
57,21,75,27,56,39,65,33
2,55,24,25,6,4,38,3
63,7,69,32,28,71,16,37
74,66,5,46,19,67,59,35
8,31,58,72,48,1,52,54
70,61,49,12,44,30,41,23
64,29,45,34,60,68,14,11
53,2,20,75,57,38,55,17
16,51,6,26,3,62,71,56
4,21,74,37,18,36,40,59
9,39,7,67,69,65,35,8
61,47,66,33,50,58,22,49
30,48,60,46,15,29,41,73
54,5,44,45,25,13,68,1
32,12,72,43,34,70,42,52
28,23,27,63,10,14,31,24
56,16,19,20,71,38,74,65
64,11,40,3,66,37,69,55
35,18,30,22,46,9,41,6
45,49,67,15,7,75,61,13
1,60,72,2,25,17,33,5
73,63,70,31,68,10,62,4
59,43,24,23,48,32,39,42
52,50,12,53,26,54,29,27
34,28,51,8,47,19,44,21
14,16,57,13,58,36,30,61
9,38,66,22,45,6,37,2
5,69,31,56,72,62,15,46
35,73,10,1,59,7,49,33
32,71,4,25,12,48,65,64
21,24,17,40,26,19,52,63
68,74,57,3,42,43,29,8
36,60,47,41,54,53,14,39
27,18,11,34,67,70,28,75
55,20,23,58,50,44,51,69
65,9,4,31,49,66,72,35
19,37,32,10,45,1,21,62
13,8,63,17,29,24,46,12
71,42,64,7,74,52,22,41
67,47,38,40,54,57,6,60
55,75,51,36,48,34,26,68
33,3,58,44,5,53,73,18
27,56,61,14,43,28,25,30
59,2,15,70,39,50,16,11
41,72,64,20,21,12,23,7
49,24,42,19,29,22,69,60
66,8,67,57,10,55,34,71
18,65,44,68,9,26,53,32
47,74,63,51,38,5,75,30
50,31,33,48,16,70,3,45
14,52,28,15,20,73,54,37
39,46,36,43,23,11,1,6
4,17,2,27,56,13,35,58
62,40,19,29,61,59,25,9
75,10,63,66,64,44,60,32
51,65,70,24,31,57,26,18
49,52,30,20,73,45,48,55
1,12,39,74,22,3,47,28
33,54,13,43,46,4,34,69
53,62,38,59,7,36,8,56
37,41,17,68,67,25,27,50
11,61,42,35,15,58,16,21
6,5,71,72,2,23,40,14
3,55,12,18,60,28,19,31
44,73,9,52,47,13,4,39
24,66,54,30,62,33,20,74
53,67,48,29,43,56,37,70
11,58,45,57,8,59,27,64
23,25,10,51,17,15,7,6
41,50,2,26,63,72,34,61
5,42,22,1,75,40,65,49
69,14,21,38,68,35,46,16
36,71,33,67,32,30,31,47
57,44,62,48,58,27,74,19
8,25,6,70,13,64,53,28
29,39,18,72,51,45,20,17
40,37,9,5,12,11,56,10
42,15,54,65,14,63,35,55
69,26,59,71,38,41,1,61
36,21,68,50,24,22,7,4
34,16,43,75,23,60,73,66
52,3,32,8*,46,49,2,57*
